run,condition,CF,a<sub>HSC</sub>,p<sub>HSC→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,p<sub>MPP→EP+</sub>,k<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>
143,WT,329.8352902624854,0.016469419595373333,0.4570199601839474,4.328349928083744,0.7836852107040033,0.7762514918702592,0.07910538609314959,4.861136560165219,0.07272100012718985,1.0500752551504995,4.674639220590424,0.11988191744265478,0.5415743714971325,0.20353300888627368,0.013857658382604592,1.562206363095737,0.4451773119864313
144,WT,356.90388594881506,0.014390837866551466,0.334965423333178,2.8744414670157252,2.573559719848037,0.5855170925551025,0.05602439624914171,3.9005136820783557,0.3794205457432396,1.294108507249291,3.9439887797083433,0.7762981742744446,1.1761660348346927,0.8087095235494681,0.06848302560309315,0.7035194251520487,1.1284332856752484
145,WT,322.2924975351034,0.017911823796873328,0.28366085279194714,3.3928501590802203,1.4379923662989706,1.4714366351615689,0.05146994783859066,2.6040967886374258,2.1408132238315982,0.5784760353896883,3.83818091100532,0.38358145150439316,1.0644726138274472,0.11932952576076539,0.09175464778560993,1.0732532355228788,1.748979170570127
146,WT,352.2933584480848,0.01379843436984464,0.24961704865631715,2.787786732173319,2.7510545821294454,2.7512354377696213,0.0319805968212172,3.583332542522042,0.9889192813313572,3.0652608500981278,5.641425494778464,1.938457857629395,1.455156165901125,2.0086815928637063,0.09582537609960676,0.05633701232119703,1.1135384174778344
147,WT,261.19135053942995,0.016371326823669773,0.4285765873243146,4.6569104970153585,1.6449878514391645,2.7332686931439696,0.05134860598298421,2.752038670695485,1.8402438084510926,1.4379319052836481,5.821375648526261,0.5074506055124569,0.20698909700993864,0.2683921164894281,0.02073715291552148,0.036637955420823654,2.4909753577653873
148,WT,317.4165256007651,0.022293484012121705,0.4509075680609599,1.6693391375016389,0.7108770472920769,0.7313315360189323,0.03968936782857326,0.9015221432553728,0.6524305988459862,2.0508986848697353,3.2446549778380716,0.16886514028423916,0.5207371495103625,0.6715983044464542,0.06835605328696193,1.4087768776319898,0.44491057987324045
149,WT,347.02915923391294,0.008748627943709614,0.3363452604685322,2.4135387933643986,0.22021668131790362,1.8769623648434497,0.09218669411275077,1.711441695939504,1.3460579267174948,1.2444659479793136,3.649965107195258,0.2686820221152553,1.0879550365013002,2.711062346612728,0.0949986593392889,1.1073891920319863,1.2401633099352452
150,WT,245.46295052994068,0.01806108413585453,0.3870660415864151,3.8416735151579484,1.8635431256627057,1.1024902370293226,0.04849916930565794,1.826951847553391,0.16960964790306593,0.19252503050621617,3.7065111778976725,0.05935988517320123,0.16725134646839432,1.758274247491899,0.016458830991804927,0.11774054886682248,0.15056163151637933
151,WT,252.57066124997525,0.016263774227073965,0.349569238397773,2.208689099757742,0.9459800233512281,2.7157400891728076,0.06231746449807127,1.1569295922300504,1.3405353846216848,3.628629815152715,5.57058856553775,1.421056569664927,0.014391575369254664,0.29963839826627897,0.019602323340140566,0.35521709726670664,0.8266101227203682
152,WT,363.6988223286169,0.01854947212716115,0.2099005975963072,2.047603979603619,1.2407998695080593,2.455669528344921,0.06866484545327257,8.478380865987878,1.2630887547360563,3.8716490993212775,5.580359929578251,1.6398993828659558,0.8863412027927126,2.4066111822843705,0.01693840655138555,0.07889054186802576,2.266640468373879
153,WT,312.44241571097325,0.018431284817683198,0.40399226436239233,3.1772014241281825,0.4090173280603093,3.0062233278788,0.06873505819473422,7.270005144526661,1.839944204916208,2.007210285329151,4.903495368280764,1.989059500902211,1.0548204881273535,0.7240885226790335,0.03565616377231308,0.22915622864411866,1.4558368993258677
154,WT,310.90040143606876,0.017721323161591244,0.2583004358711947,5.677386173142569,2.013739158379867,1.1014416895840973,0.043948556500288484,5.197869978213485,2.8548492187986154,0.3100994671856864,5.89214097014219,0.4822973274193867,0.4899364609704602,1.28657282779151,0.019799293788207405,1.3677978547784089,1.729098992524022
155,WT,290.6074266701049,0.016236543979321127,0.46235038234350057,3.4333542983977843,0.7508653048179679,0.8496315992369392,0.08549585599273889,1.4591106007712973,1.0076550916208418,1.1053094233355303,4.263366219106719,1.0477157444718619,1.0377351231783494,0.41244434368928595,0.07661819256374733,1.2059804778036338,0.4787836925058191
156,WT,240.89954837701106,0.0158732231593764,0.20648409109589091,2.9485744705733663,0.5134232631904018,1.0039574290331348,0.06676993740789847,2.185087591719443,1.3625711719631726,1.6585601737192115,4.531945046710978,0.028967204076992815,0.11635665361595629,0.4875539488837645,0.025625952937721016,0.5496319577892317,1.1559231274566892
157,WT,287.9290709214721,0.02018618908225339,0.4496244054847777,4.942239498911255,2.189227258696336,1.9559718691440993,0.07282716092680899,1.852519373209665,2.277202643181635,0.05456062115116378,4.495296811557605,1.5729745981573737,0.10541756103483746,1.5994342649865882,0.03995885998320142,1.0804393949231166,0.2650985238675041
158,WT,306.5762496769008,0.017908922086770113,0.3127629414128484,2.5485634147183593,1.5244597285632788,1.9846007532257888,0.09488527957607354,0.36608345552655,1.9563403145196707,1.7525704348499438,4.096745005549055,1.8650936787486587,0.04351181810553839,0.5319412056866345,0.07941157120635944,1.613396950517088,2.0316747242981252
159,WT,335.86732412113355,0.013590431798003195,0.2588211462387524,2.59452216965759,3.617591608769521,2.4096147607337968,0.08092077983386635,2.4562897158796693,0.7133256188478938,2.2525284700060935,4.73100880084613,0.2761835830895636,1.4481365449687533,2.985410824208666,0.017562506561207405,1.9474105237891735,0.2894501207831006
160,WT,311.24816330622554,0.012227191515625978,0.35146432288631824,4.96085733830264,2.9358047909178175,3.5135219975269516,0.08320243621894849,3.1392746810514316,1.4815877057714009,0.9220821775915233,5.55904221078827,0.1968990772684691,0.19717778718666534,0.2506988809643529,0.011441703841388052,0.287167595679628,2.311145923456729
161,WT,343.8082166320896,0.010919253143247327,0.20442665703936147,3.4485632131620987,3.682898604483391,1.2331623967007936,0.08568888017251594,6.084432040046807,0.46170498785456693,1.9720671289959513,5.409665541826944,0.1954585736115946,0.5275526359194178,2.359547541814269,0.02967586979904619,0.2065275333764227,2.9974165260647663
