nb,run,a<sub>HSC</sub>,p<sub>HSC→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,k<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>
48,1,0.003985878530302875,0.4240171938785359,5.4927433425570324,0.12881910975443023,1.7960532119858288,0.07342837567663606,4.4404680364165845,0.9737866486413392,5.2733102081507806,0.719556063775131,0.021911083036738367,0.5382791423296936,0.05157352589628607,0.012995006386111126,0.7789110971442931
49,1,0.014857762209548766,0.35930288982010145,5.537998417086696,0.1392754541443952,1.845974032264781,0.04997733471359433,4.383644018115741,1.0183605638642474,5.259364107236335,0.8008831763372967,0.009443851706834028,0.5473582542503826,0.0409288751787461,0.06983871791719924,0.8021485994615741
50,1,0.010682350557084334,0.3554323439653284,5.547384454262066,0.16890298123754346,1.74992080342273,0.09056110710583604,4.383385259980432,0.9335866017545683,5.314315911535895,0.7827764716904146,0.013116895966982936,0.5098421751480773,0.021293023739275184,0.10629092316341097,0.7386701924638768
51,1,0.0018379716827291686,0.3706584881295337,5.540913662440226,0.18806187857243378,1.6818640884972689,0.07777110179927708,4.3605076915575625,0.9572253709868173,5.358012227189807,0.7803894233636269,0.03180226370049235,0.5117952236401951,0.038525705570469915,0.13221622172973635,0.7082307960890772
52,1,0.0018773352678132578,0.3750407529000927,5.5220226456369,0.15875985668600842,1.7604314566714498,0.08187998068359492,4.366309074235557,0.9481150582101003,5.380886850327024,0.7989907719735374,0.021843318383509475,0.47817350771784,0.03881617201917911,0.07238091992491542,0.7158166276239272
53,1,0.009299304091418235,0.2696247853066882,5.506963039470614,0.1540198564998403,1.7249123213768358,0.04084577771419801,4.296971955659053,0.8922764617647975,5.320567883528939,0.8282413358359679,0.0001535409475697901,0.4969593204035822,0.03630231596197756,0.06287742237936918,0.6528528903064729
54,1,0.014303536913187498,0.22902280334940153,5.504834885738477,0.12730610922773958,1.7455574978913997,0.08624949044970008,4.291483715828114,0.929323176721569,5.298497275611395,0.875763890022141,0.004603962730687337,0.5079583028490233,0.06756413344285196,0.02165896402070443,0.6838150610767504
55,1,0.015650489853014767,0.2471144954610133,5.496650098628948,0.1872936483780356,1.8036581446769822,0.09283715485394797,4.329023667326675,0.9691398936113762,5.3163279360362115,0.9127160640352373,0.0177259935956487,0.5471440206283935,0.02719693655537962,0.0174832150889215,0.6910813998674286
56,1,0.011734593906689857,0.25962686918797984,5.493908009784348,0.14907778683304698,1.8237869454929472,0.08800039073431201,4.331733102516223,1.0009058086239084,5.252089707925689,0.9816715237977378,0.00856443438631695,0.536032164131709,0.05051851507610955,0.07430179949343522,0.6649552352391991
57,1,0.016991221362922873,0.3176638662491119,5.527046391319241,0.17027249475945128,1.834937940503085,0.03764811505601632,4.295164575438511,0.9956688487602265,5.253485035513595,1.0599142355430475,0.00803116732977312,0.562396309837915,0.022219311364195526,0.1563445658879586,0.6204373832787541
58,1,0.015402027022615547,0.31915015368940935,5.509814459787691,0.1684503274670938,1.809299622201272,0.09504986425509422,4.2756413371556885,1.030825871216379,5.266142195918135,1.078330699100824,0.01467081866438007,0.6173663312924048,0.007836369220692183,0.1844719248897203,0.7025501088303239
59,1,0.01383295540524211,0.3461033528044157,5.50914208593879,0.13187750424712627,1.7980065880004812,0.055819540320777336,4.346835549206765,1.043592414269945,5.227718160926715,0.9673204045239274,0.009808831910826652,0.6717078658874572,0.005960557317286904,0.10385149214114531,0.7150881280391889
60,1,0.004882421020915112,0.4217804155274743,5.511268384127311,0.11660616698409636,1.7915520104440659,0.05591780138926681,4.351615058176062,1.0061408802647496,5.285243760286669,1.0708528573179343,0.013614885298712708,0.6250732485586558,0.01565653533198935,0.10350005965265482,0.6769214796111511
61,1,0.008136860522313879,0.3999362937647887,5.537827295094881,0.0987846931585351,1.8243306037306943,0.07069430359413159,4.403071544340877,0.9764464660109,5.348310907540731,1.1191164934433078,0.005548118559783618,0.5131424955872594,0.04291400063890054,0.19511451968928512,0.6775062485436611
