run,condition,CF,a<sub>HSC1</sub>,p<sub>HSC1→MPP</sub>,a<sub>HSC2</sub>,p<sub>HSC2→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,d<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>,r<sub>HSC1→HSC2</sub>,r<sub>HSC2→HSC1</sub>
90,WT,354.9645322438988,0.0014308294720645188,2.958428559882721,0.022123797376137143,2.4309407187816086,1.960033825692626,0.36895380694277247,0.8862513183019849,0.0730525610091429,2.5752939437040716,1.0356013020641737,0.14105951240628212,0.2240786819031868,0.1439565239118672,2.3375364315264617,0.029139710336005292,0.7718025671585607,1.1187292437754115,0.0055146813884339166,0.0014289068344714474
91,WT,278.50266869178773,0.007818497224003837,1.04840825573736,0.015995568589908863,7.613734244625203,5.7971681927258665,0.3484950516743529,1.4878716003546155,0.17326709622826567,5.949978436832207,1.3057658914516186,0.05604398334160465,0.16006081112788137,0.11893743747002569,1.548710927683138,0.09136647802442444,0.13472582254738502,1.6853196346316393,0.013730452630816292,0.0004765668019720801
92,WT,269.48556879402463,0.00122939772455512,6.479530370067583,0.003803614688640706,7.1345432061882486,6.26766356263691,0.7742927548172699,2.2999416987483854,0.0485476025709997,4.594266334543908,1.4348884292717639,0.06762591450973497,0.18015371238701755,0.20025220478258174,1.3965407381639934,0.02219148649500365,0.3187065379165645,0.7547419594853488,0.033346159556763115,0.002755979205998127
93,WT,311.79560318559436,0.0020360136364476642,4.647602319251985,0.01672189141193183,7.343514732859587,6.668564330686575,2.0873073189508435,4.445561757431513,0.1468375211851043,5.219240490313406,1.2874176741149035,2.530229246857644,1.204807725333169,0.23861481106830124,2.943226782649551,0.07487337565606603,0.12003539357811012,0.5474933636736302,0.016211173188901525,0.0031960911558532477
94,WT,281.6410392442564,0.004079304429621502,7.4281168843661,0.020186675175932603,5.2583935576465315,7.19405212773635,0.7950634864389877,1.5728794650251001,0.1997598796609151,3.8025374859163765,1.3023693456087104,0.7566675345029859,1.3360741832914398,0.0694166152731452,0.3587056373634424,0.0702588094164353,0.07544063929202516,1.0899957670859843,0.004222144014033293,0.0028978660649615537
95,WT,310.558435377329,0.003626454386953398,6.721234629291472,0.01929989879249298,7.446133953011137,4.893298010734819,0.42785611023000947,2.3029428882920673,0.08041476391391177,7.506827420654838,2.6161340296829994,0.9977451326595512,0.4729903714229201,0.471839135289565,0.002679382381578074,0.027248385543810927,0.4323220846590932,1.5568608883223425,0.008435053081758143,0.0017909557643331516
96,WT,287.17048681768307,0.0023169224841698677,5.355736632797164,0.0038438375179472638,6.907715095664822,4.313731141384752,1.286793135702388,1.8869699229356776,0.07284784319693058,3.8453815005834633,0.658694988204641,2.6980464981571326,0.7112178929169821,0.12080511535535635,0.7195779885298643,0.026336330955210485,0.2866575475099738,0.3233647794443356,0.03131603130725358,0.0037196415506954416
97,WT,327.89633529685517,0.007634203369942806,3.209625367174275,0.00489206710684836,7.737354654825705,7.491700551043769,0.7686159400518315,2.546494414724852,0.1615418569318508,6.5200817362436005,2.6688764537723784,0.3412922656342395,0.19458142311976667,0.8802987573265086,3.0582183741216933,0.08876717649000308,0.7092522843026822,0.40582580898955867,0.022431485003885396,0.00209408361356037
98,WT,317.84569455105304,0.0009725363778738307,1.8325922162626216,0.012997229274535442,7.976286505891784,6.5631476114074925,0.5724698229895793,3.3935125288377774,0.06426437619066246,7.122946059902259,1.5215907268732025,1.4025170017765038,0.313645062020496,0.31585140075411755,1.5328775800582057,0.09010681200296684,0.8701358461305275,0.8935686656892362,0.03040355630739304,0.0019590357993461145
99,WT,327.06276569843266,0.0075048611436716395,7.250091725979521,0.020407531572790762,4.772834101604114,4.658945170862352,1.4415864256673467,0.5726997399461611,0.1618463091781339,9.612269876768803,1.6595885709556193,0.9502760310056324,0.23561742212554715,0.24091383762608037,0.0005070743564989932,0.0705564116064786,0.3873229386659286,1.2209609679339744,0.005030624807414923,0.0007033736308278138
100,WT,338.13757947334216,0.0005839013291739116,5.353003495117033,0.0059863311558427225,7.303524772261893,6.055322719727628,1.147124005596324,2.92427917227733,0.13979021127558564,5.608827503706246,1.4845792244214249,0.4731090479183291,0.22154395653053793,0.429526922121902,2.955325293714738,0.09191249267302884,1.3290454985556677,1.0180567988065095,0.020854930245590955,0.012034293125148424
101,WT,254.2299030091212,0.00019340070365006512,6.177282458683682,0.017583411293650375,7.007724168335178,7.441315184650639,0.7937593571893863,1.43991046354633,0.1252157932091064,4.905132872743492,1.639483444850598,0.3220267555121257,0.17441855046510973,0.14270517365094756,0.18446438551148867,0.04862883386101624,0.05357905637619093,0.9085800280161833,0.007809341664114687,0.005111457889678108
102,WT,252.99615387975078,0.0030543920168195986,6.914544521667798,0.01961733827542552,6.664283158013269,7.045230807652108,0.5165091304076913,2.1872879631921,0.1813158074617416,6.186728041894229,1.53371605406305,0.0672479670983834,0.08828618543034199,0.06849169392594306,0.7214534886350933,0.08062223803606768,0.15566309943145026,1.0877110596223267,0.005008899520828083,0.0029260396669034106
103,WT,258.4047297485299,0.005027981263949504,6.17738022759897,0.014337348660186232,7.214221748410442,7.198396483042708,0.7407011100507636,1.6148929062995276,0.07810534436223517,5.866065978175379,1.2204861609278153,1.1850088834722463,0.11532036615430688,0.11906614301680928,0.7130249927043878,0.019169039945904114,0.18826417138929277,0.6432046969713567,0.013337619038833305,0.001358478766735561
104,WT,260.4028145611744,0.004903427763691865,4.835262500272641,0.017881719552873234,7.591635192885706,7.5855547540378865,0.0907128402063894,2.0460665771678013,0.07028953705381615,7.508948178869145,1.2630458740119606,0.28668193829351857,0.4442423771805329,0.013525882444141487,0.32269472879218575,0.02084921043216418,0.7272365772448305,0.7247433432878693,0.0060540222190351095,0.0029274655886544314
105,WT,328.37088265256267,0.007101391315802622,7.244786972139777,4.288352897707445e-5,3.94836779948605,3.1620705595144623,0.8416700569767013,4.705377750109918,0.09270768301695607,8.0712454587578,0.6381603449884699,0.7766647191604872,1.4553306478696957,0.05793446784931677,0.2896241841167715,0.046849723212969006,0.9920736365135494,0.18630215593074517,0.033655695606308954,0.002637627777640694
106,WT,258.4867344546422,0.007251255435994506,3.442124514260554,0.0075856411571523326,7.5424468715601165,7.175340589190227,0.27965251857699397,2.556356726044538,0.055978866774093056,6.92687427205782,1.6625191665576209,0.13045766053916136,0.13300613311843584,0.03884089883981225,0.5972295961659739,0.01838175807711584,0.1332354553098817,1.1610334723806528,0.02869375538314153,0.0004124950670664814
107,WT,278.15851236768015,0.004036228425635176,6.330931108588283,0.0215245665193114,7.267016810455487,7.771842984587291,0.5545632745903221,3.267373841848455,0.18673940075423204,9.852300945386249,1.2301506274693084,0.23618643819070018,0.9836851690693937,0.036956118276613374,3.10782553017265,0.09520232563999664,0.32816816987222797,0.6841744873449822,0.007331209167931315,0.0019685943276233015
108,WT,258.38556392748717,0.00038110153065525456,5.002705767139308,0.005794938460944778,7.309034113493111,7.323316823472932,0.636102434350916,1.6144551073667872,0.18892602773900902,2.7796032883844206,0.578164462247007,0.0858144698971375,0.18424270875356222,0.12936703985737583,2.713635433910577,0.07326467583872182,0.19478129856329132,0.3652341714573541,0.02786080197656422,0.0025687656307963073
109,WT,253.70074203327894,0.0009859887239634362,7.531686279914119,0.017376317128524665,7.664651095835158,7.845136806993648,0.6785599076120508,2.040739309459261,0.0970396435238947,6.267884059692438,1.2647770420228668,0.37110688174666884,0.08129749948983238,0.11769773395987106,0.6704671480999437,0.029909131786362515,0.16401785274790925,1.0278399070144142,0.008571269781695673,0.002334516861337177
110,WT,329.9334749793791,0.008579208854987714,4.8858505530134195,0.01786030716785969,4.277185900896328,6.571153138441208,3.0040127291960967,4.412677673723984,0.033565792540191416,4.512388033367339,0.6006805513602897,0.5704867588483253,0.9916259386065156,0.5130692810838904,0.8351710652129358,0.0004833061341276701,0.6441804031707612,0.5518760852133293,0.016344070820455435,0.0009548729370102609
111,WT,254.35629760893795,0.0010189801258814297,2.576361481293043,0.015605231382386913,7.496340091207971,6.641311483994895,0.3977487512163989,1.9234905900920019,0.0523487015501181,3.8885083237359432,1.0954951910454063,0.2804151001142924,0.047214940922057795,0.05999992073327789,1.9410444770526643,0.009102530725900095,0.1113043997083585,0.711756245322059,0.012930278839145914,0.0032566812894563274
112,WT,355.63348134524836,0.0008860009022808234,3.01001699374543,0.014406903161589622,5.534655176674819,1.9273997273082275,1.643533635717235,4.9154965827083235,0.05817749922481728,4.07223961813844,1.1922485760525563,1.7549784201132483,0.4935266603611739,0.036329060005238833,0.355130107199364,0.018632840264443635,1.2106745606041924,0.6632858802876513,0.00475012566026144,0.009923246244077406
113,WT,342.0320355731212,0.012760617040965991,7.722695715623921,0.01828118132705873,5.602803779977226,6.007027825739286,3.9570517378988566,2.0994001865637655,0.1317137843613113,8.659267074689682,2.9023506655625027,0.5467219981367304,1.4667248942447104,0.22547802999546707,2.2470653651052306,0.0954266250360257,0.2672826277876088,0.43030092589200564,0.00788778739380851,0.0007591365671622841
114,WT,258.3829373397077,0.007552931764292742,7.185578299181762,0.01226930135214799,7.3283270562968745,6.6823336207004855,0.5015386946415556,2.367461298748476,0.18681141215192015,7.510795625968472,1.3884279976399028,0.1444836419589844,0.22403513206118295,0.06807226482026847,0.23501349928181353,0.09401780997235082,0.506633774740409,0.9178178872249964,0.015353197220149939,0.0014019711607576636
